fhdi_drug_id,drug_name,drug_dose,dosage_form,food_herb_id,food_herb_name,type,component,dose,time,effect,conclusion
d01217,warfarin,not specified,oral,h00804,caesalpinia sappan,herb,quercetin,not specified,coadministered 14 days,possible,quercetin que alters the pharmacokinetics of warfarin war warranting possibly war dose adjustment after confirmatory clinical investigations specifically in patients with thrombotic disorders and a pretreatment history of que or its product
d00894,cyclosporine,10 mgkg,oral,h00804,caesalpinia sappan,herb,quercetin,50 mgkg,not specified,possible,it is suggested that concurrent use of quercetin or quercetincontaining dietary supplement or herbs with cyclosporin or other medications whose absorption and metabolism are mediated by pgp andor cyp3a4 should require close monitoring
d00601,valsartan,10 mgkg,oral,h00804,caesalpinia sappan,herb,quercetin,10 mgkg,not specified,possible,quercetin is a pgp inhibitor and may be an inhibitor of cyp3a4 the simultaneous administration of quercetin significantly increases the intestinal absorption and decreases the efflux of valsartan the observed effect may be beneficial to develop oral valsartan dosage forms using safe pgp inhibitor quercetin to improve its oral bioavailability
d00583,ranolazine,14 mgkg,oral,h00804,caesalpinia sappan,herb,quercetin,20 mgkg,single dose study,possible,the transport of ranolazine from mucosal side to serosal side was increased in presence of quercetin quercetin is an inhibitor of cyp3a4 and pgp so it increased the auc and cmax of ranolazine
d00583,ranolazine,14 mgkg,oral,h00804,caesalpinia sappan,herb,quercetin,20 mgkg,administration after 7 days of pretreatment,possible,the transport of ranolazine from mucosal side to serosal side was increased in presence of quercetin quercetin is an inhibitor of cyp3a4 and pgp so it increased the auc and cmax of ranolazine
d00329,quetiapine,1 mgkg,injection,h00804,caesalpinia sappan,herb,quercetin,10 mgkgd,administration after 7 days of pretreatment,possible,the current set of studies indicated that serious herbdrug interaction between qcn and qte might occur when they are coadministered caution is advised for concomitant use of qcn rich dietary supplements with qte
d00542,paclitaxel,40 mgkg,oral,h00804,caesalpinia sappan,herb,quercetin,2 10 20 mgkg,not specified,possible,quercetin has a significant impact on the bioavailability of oral paclitaxel in rats
d00829,tamoxifen,10 mgkg,oral,h00804,caesalpinia sappan,herb,quercetin,75 mgkg,not specified,possible,the enhanced bioavailability of tamoxifen as a result of its coadministration with quercetin might be due to the effect of quercetin promoting the intestinal absorption and reducing the firstpass metabolism of tamoxifen if the results are further confirmed in the clinical trials the tamoxifen dosage should be adjusted when tamoxifen is administered with quercetin or quercetincontaining dietary supplements in order to avoid potential drug interactions
d00597,atorvastatin,20 mgkg,oral,h00804,caesalpinia sappan,herb,quercetin,10 mgkg,single dose study and multiple dose study,no effect,quercetin does not alter the oral bioavailability of atorvastatin calcium in rats
d00597,atorvastatin,20 mgkg,oral,h00804,caesalpinia sappan,herb,quercetin,10 mgkg,single dose study and multiple dose study,no effect,quercetin does not alter the oral bioavailability of atorvastatin calcium in rats
d01046,vortioxetine,2 mgkg,oral,h00804,caesalpinia sappan,herb,quercetin,30 mgkg,not specified,possible,quercetin and apigenin exhibited inhibitory effects on the metabolism of vortioxetine in vivo and in vitro moreover quercetin and apigenin noncompetitively inhibited the metabolism of vor in rlms thus we should pay more attention to the combination between these dietary flavonoids and vor in the future clinical use
d00291,phenacetin,10 mgkg,oral,h00805,tamarindus indica,herb,vitexin,10 100 mgkg,cocktail method,no effect,treatment with short or long period of vitexin had no effects on rat cyp1a2
d00370,tolbutamide,1 mgkg,oral,h00805,tamarindus indica,herb,vitexin,10 100 mgkg,cocktail method,possible,therefore caution is needed when vitexin is coadministered with some cyp2c11 or cyp3a1 substrates in clinic which may result in treatment failure and herbdrug interactions
d00245,midazolam,5 mgkg,oral,h00805,tamarindus indica,herb,vitexin,10 100 mgkg,cocktail method,possible,therefore caution is needed when vitexin is coadministered with some cyp2c11 or cyp3a1 substrates in clinic which may result in treatment failure and herbdrug interactions
d00066,busulfan,not specified,not specified,h00806,rumex acetosa,herb,not specified,not specified,23 ounces two times between testdose administration and transplantation,harmful,in vitro inhibit of cyp1a2 2c9 2c19 2d6 and 3a4 by some ingredients
d00149,fexofenadine,10 mgkg,oral,h00806,rumex acetosa,herb,not specified,2 gkg,not specified,possible,the results of this study suggest that r acetosa extract could inhibit the absorption of certain drugs via intervention in the aqueous solubility and the drug transporters therefore r acetosa extract may cause drug interactions when coadministered with substrates of drug transporters and poorly watersoluble drugs although further clinical studies are needed
d00774,rosuvastatin,100 mgkg,oral,h00807,ziziphus jujuba var spinosa,herb,ursolic acid,80 mgkg,not specified,possible,therefore the present results suggested that the potential drug interaction between danshensu or ursolic acid and rosuvastatin may be mediated by one or more transporters oatp1b1 oatp 1b3 oatp 1a2 bcrp and ntcp andor cyps
d01040,selexipag,2 mgkg,oral,h00808,semen aesculi,herb,quercetin,2 mgkgd,administration after 7 days of pretreatment,possible,the study indicated that quercetin could inhibit the metabolism of selexipag and act333679 when coadministration therefore the clinical dose of selexipag should be used with caution when coadministered with foods high in quercetin
d00774,rosuvastatin,5 mgkg,oral,h00808,semen aesculi,herb,curcumin,100 mgkg,not specified,possible,coadministration of curcumin significantly increased rosuvastatin concentration in rat and dog plasma
d00090,chlorzoxazone,250 mg,oral,h00808,semen aesculi,herb,quercetin,1000 mg,administration after 10 days of pretreatment,positive,the results suggest that altered pharmacokinetics of chz might be attributed to quercetinmediated inhibition of cyp2e1 enzyme further the inhibition of cyp2e1 by quercetin may represent a novel therapeutic approach for minimizing the ethanolinduced cyp2e1 enzyme activity and results in reduced hepatotoxicity of ethanol
d00019,acetaminophen,325 mg,oral,h00808,semen aesculi,herb,curcumin,4 g,given orally four times over 2 days,no effect,the results indicate that short term use of this piperineenhanced curcuminoid preparation is unlikely to result in a clinically significant interaction involving cyp3a cyp2c9 or the paracetamol conjugation enzymes
d00162,flurbiprofen,100 mg,oral,h00808,semen aesculi,herb,curcumin,4 g,given orally four times over 2 days,no effect,the results indicate that short term use of this piperineenhanced curcuminoid preparation is unlikely to result in a clinically significant interaction involving cyp3a cyp2c9 or the paracetamol conjugation enzymes
d00245,midazolam,3 mg,oral,h00808,semen aesculi,herb,curcumin,4 g,given orally four times over 2 days,no effect,the results indicate that short term use of this piperineenhanced curcuminoid preparation is unlikely to result in a clinically significant interaction involving cyp3a cyp2c9 or the paracetamol conjugation enzymes
d00972,everolimus,10 mg,oral,h00808,semen aesculi,herb,curcumin,400 mgday,not specified,harmful,article hypothesize that curcumininduced cyp3a4 induction may account for these observations therefore we suggest that cancer patients starting everolimus should be systematically questioned on their routine use of dietary supplements and therapeutic drug monitoring should be considered given the narrow therapeutic index of everolimus and the likely relationship between its systemic exposure and anticancer activity
d00245,midazolam,75 mg,tablet,h00808,semen aesculi,herb,quercetin,500 mg,500 mg quercetin once a day for 13 consecutive days,negative,quercetin significantly induced cyp3a activity to substrate midazolam and the induction was partly related to the cyp3a5 genotype being more prominent in cyp3a511 and cyp3a513 individuals
d00630,talinolol,50 mg,oral,h00808,semen aesculi,herb,curcumin,300 mgday,not specified,negative,the reduced bioavailability of talinolol is most probably due to the low intraluminal curcumin concentration or possibly due to the upregulation of further atpbinding cassette transporters such as mrp2 in different tissues
d00419,phenylephrine,not specified,not specified,h00808,semen aesculi,herb,curcumin,not specified,not specified,possible,resveratrol may inhibit phenylephrine metabolism
d00822,sulindac,200 mgkg,not specified,h00808,semen aesculi,herb,curcumin,500 mgkg,not specified,possible,results show that curcumin substantially improves the pharmacokinetics of phosphosulindac leading to synergistic inhibition of the growth of human lung cancer xenografts representing a promising drug combination
d00160,fluoxetine,5 and 20 mgkg,intraperitoneal,h00808,semen aesculi,herb,curcumin,20 mgkg,not specified,no effect,in conclusion curcumin more than pindolol enhanced the antidepressant effect of a subeffective dose of fluoxetine in mice without increasing its serum or brain levels excluding any pharmacokinetic interaction
d00542,paclitaxel,20 mgkg,oral,h00808,semen aesculi,herb,curcumin,50 mgkg,not specified,possible,decrease pgp and cyp3a2 protein levelthe results of this study suggest that combination of ptx and cur administered in nanoemulsions could improve oral bioavailability and therapeutic efficacy in ovarian adenocarcinoma
d00551,diltiazem,15 mgkg,oral,h00808,semen aesculi,herb,quercetin,2 10 20 mgkg,not specified,possible,the bioavailibility of diltiazem in the rabbits pretreated with quercetin is increased significantly compared with the control but not in the rabbits coadministered with quercetin the increased bioavailability of diltiazem in the rabbits pretreated with quercetin might have been resulted result from the quercetin which inhibits the efflux pump pglycoprotein and the firstpass metabolizing enzyme cyp3a4
d00070,verapamil,10 mgkg,oral,h00808,semen aesculi,herb,quercetin,15 mgkg,not specified,possible,in conclusion pretreatment of quercetin significantly enhanced the oral exposure of verapamil this suggested that concomitant use of quercetin or a quercetincontaining dietary supplement with verapamil requires close monitoring for potential drug interaction
d00267,norfloxacin,100 mgkg,oral,h00808,semen aesculi,herb,curcumin,60 mgkg,administration after 3 days of pretreatment,possible,the reduction in the loading and maintenance doses indicates that prior administration of curcumin is of economic significance as well as being capable of reducing side effects as a lesser amount of drug would be required the bioenhancer nature of curcumin is comparable to piperine an alkaloid obtained from piper longum thus bioenhancer properties of curcumin can be clinically exploited after appropriate dose titration studies
d00267,norfloxacin,100 mgkg,oral,h00808,semen aesculi,herb,curcumin,60 mgkg,not specified,possible,prior treatment of curcumin significantly increased elimination halflife and volume of distribution of norfloxacin
d00213,losartan,10 mgkg,oral,h00808,semen aesculi,herb,quercetin,20 mgkg,administration after 7 days of pretreatment,possible,these results indicated that the herbdrug interaction between quercetin and losartan might occur when they are coadministered in rats quercetin could increase the systemic exposure of losartan and decrease the plasma concentration of exp3174 possibly by inhibiting the activity of pgp or cyp450 enzyme
d00010,melatonin,5 mgkg,not specified,h00808,semen aesculi,herb,quercetin,15 mgkg,before dose,possible,these findings suggest that caffeic acid and quercetin improved oral exposure of melatonin via cyp1a inhibition pathway
d00291,phenacetin,20 mgkg,oral,h00808,semen aesculi,herb,aescin,045 09  18 mgkg,administration after 10 days of pretreatment,possible,aescin can either inhibit or induce activities of cyp1a2 cyp2c9 and cyp3a4
d01198,tucatinib,30 mgkg,oral,h00808,semen aesculi,herb,quercetin,25 50 100 mgkg,not specified,possible,100 mgkg quercetin exhibited a more substantial inhibition on tucatinib metabolism than 50 mgkg quercetin therefore the concurrent use of tucatinib with high dose of quercetin should be treated with extreme caution if their combined use is unavoidable our data suggested dose reduction or interruption of tucatinib should be taken
