indication,state,fhdi_drug_id
obesity icd11 5b81,approved,d00295
urea cycle disorder icd11 5c50a,phase 2,d00296
chronic pain icd11 mg30,approved,d00297
hypertension icd11 ba00ba04,approved,d00298
diabetic complication icd11 5a2y,approved,d00299
type2 diabetes icd11 5a11,phase 3,d00299
obesity icd11 5b81,investigative,d00299
enterobiasis icd11 1f65,approved,d00300
ascariasis icd11 1f62,approved,d00300
cognitive impairment icd11 6d71,approved,d00301
peptic ulcer icd11 da61,approved,d00302
edema icd11 mg29,approved,d00303
hypertension icd11 ba00ba04,approved,d00303
hypokalemia icd11 5c77,approved,d00304
cardiac arrhythmias icd11 bc9z,approved,d00305
anxiety disorder icd11 6b006b0z,approved,d00306
flatworm infection icd11 1f701f86,approved,d00307
congestive heart failure icd11 bd10,approved,d00308
benign prostatic hyperplasia icd11 ga90,approved,d00308
hypertension icd11 ba00ba04,approved,d00308
pain icd11 mg30mg3z,approved,d00309
malaria icd11 1f401f45,approved,d00310
epilepsy icd11 8a608a68,approved,d00311
hyperuricaemia icd11 5c55y,approved,d00312
gout icd11 fa25,approved,d00312
coronary artery disease icd11 ba80,approved,d00313
ventricular arrhythmias icd11 bc71,approved,d00314
hodgkin lymphoma icd11 2b30,approved,d00315
asthma icd11 ca23,approved,d00316
nausea icd11 md90,approved,d00317
parkinson disease icd11 8a000,approved,d00318
psychomotor agitation icd11 mb23m,approved,d00319
nausea icd11 md90,approved,d00320
tachyarrhythmias icd11 bc71,approved,d00321
stomach ulcer icd11 da60z,approved,d00322
excessive sweating icd11 ee00z,approved,d00322
urinary incontinence icd11 mf502,approved,d00323
migraine icd11 8a80,approved,d00324
myasthenia gravis icd11 8c6y,approved,d00325
allergy icd11 4a804a85,approved,d00326
malaria icd11 1f401f45,approved,d00327
insomnia icd11 7a007a0z,approved,d00328
schizophrenia icd11 6a20,approved,d00329
alcohol dependence icd11 6c402,phase 3,d00329
bacterial infection icd11 1a001c4z,approved,d00330
osteoporosis icd11 fb830,approved,d00331
peptic ulcer icd11 da61,phase 3,d00332
amyotrophic lateral sclerosis icd11 8b600,approved,d00333
schizophrenia icd11 6a20,approved,d00334
migraine icd11 8a80,approved,d00335
osteoarthritis icd11 fa00fa05,approved,d00336
parkinson disease icd11 8a000,approved,d00337
diabetic complication icd11 5a2y,approved,d00338
rheumatoid arthritis icd11 fa20,approved,d00339
intractable insomnia icd11 7a00,approved,d00340
skin burns icd11 me650,approved,d00341
pagets disease icd11 fb85,approved,d00343
pagets disease icd11 fb85,approved,d01374
sinus rhythm disorder icd11 bc9y,approved,d00344
chronic myelogenous leukaemia icd11 2a200,approved,d00345
acute lymphoblastic leukaemia icd11 2a85,approved,d00345
intestinal cancer icd11 2c0z,phase 3,d00345
lung cancer icd11 2c250,phase 2,d00345
systemic mastocytosis icd11 2a210,investigative,d00345
cutaneous tcell lymphoma icd11 2b01,approved,d00346
urinary tract infection icd11 gc08,approved,d00347
rheumatoid arthritis icd11 fa20,approved,d00348
irritable bowel syndrome icd11 dd910,approved,d00348
gout icd11 fa25,approved,d00349
schizophrenia icd11 6a20,approved,d00350
migraine icd11 8a80,approved,d00352
respiratory tract infection icd11 ca45,approved,d00353
solid tumourcancer icd11 2a002f9z,approved,d00354
insomnia icd11 7a007a0z,approved,d00355
grade iv astrocytoma icd11 2a000,approved,d00356
benign prostatic hyperplasia icd11 ga90,approved,d00357
allergy icd11 4a804a85,withdrawn from market,d00358
multiple myeloma icd11 2a83,approved,d00359
nausea icd11 md90,approved,d00361
schizophrenia icd11 6a20,approved,d00362
breast cancer icd11 2c602c65,approved,d00363
pain icd11 mg30mg3z,approved,d00364
stroke icd11 8b20,approved,d00365
cystinuria icd11 5c602,approved,d00367
cystine urolithiasis icd11 gb70gb7z,approved,d00367
spasm icd11 mb473,approved,d00368
diabetic complication icd11 5a2y,approved,d00369
noninsulin dependent diabetes icd11 5a11,approved,d00370
rheumatoid arthritis icd11 fa20,approved,d00371
excessive bleeding icd11 ga3002,approved,d00372
depression icd11 6a706a7z,approved,d00373
congestive heart failure icd11 bd10,approved,d00374
edema icd11 mg29,approved,d00374
hypertension icd11 ba00ba04,approved,d00374
insomnia icd11 7a007a0z,approved,d00375
schizophrenia icd11 6a20,approved,d00377
dystonia icd11 8a02,approved,d00378
parkinson disease icd11 8a000,approved,d00378
obesity icd11 5b81,investigative,d00378
irritable bowel syndrome icd11 dd910,approved,d00379
pancreatic cancer icd11 2c10,approved,d00381
epilepsy icd11 8a608a68,approved,d00381
nausea and vomiting icd11 md90,approved,d00382
major depressive disorder icd11 6a703,approved,d00383
vitiligo icd11 ed630,approved,d00384
diabetic complication icd11 5a2y,approved,d00385
human immunodeficiency virus infection icd11 1c62,approved,d00386
depression icd11 6a706a7z,approved,d00387
complex partial seizure icd11 8a680,approved,d00388
infantile spasm icd11 8a620,approved,d00388
epilepsy icd11 8a608a68,approved,d00388
major depressive disorder icd11 6a703,approved,d00389
asthma icd11 ca23,approved,d00390
insomnia icd11 7a007a0z,approved,d00391
insomnia icd11 7a007a0z,approved,d00393
epilepsy icd11 8a608a68,approved,d00394
insomnia icd11 7a007a0z,approved,d00395
rheumatoid arthritis icd11 fa20,approved,d00396
solid tumourcancer icd11 2a002f9z,approved,d00397
inflammation icd11 1a00ca431,approved,d00398
congenital adrenal hyperplasia icd11 5a7101,phase 2,d00398
solid tumourcancer icd11 2a002f9z,approved,d00399
multiple sclerosis icd11 8a40,phase 3,d00399
breast cancer icd11 2c602c65,approved,d00400
hypertension icd11 ba00ba04,approved,d00401
hypothyroidism icd11 5a00,approved,d00403
congestive heart failure icd11 bd10,approved,d00404
rheumatoid arthritis icd11 fa20,approved,d00406
inflammation icd11 1a00ca431,approved,d00407
atopic dermatitis icd11 ea80,phase 1,d00407
eczema icd11 ea80ea89,phase 1,d00407
menopausal and postmenopausal disorder icd11 ga30,approved,d00408
glaucomaocular hypertension icd11 9c61,approved,d00409
lamberteaton myasthenic syndrome icd11 8c62,approved,d00410
hypothyroidism icd11 5a00,approved,d00411
congestive heart failure icd11 bd10,phase 3,d00411
bacterial infection icd11 1a001c4z,approved,d00412
short bowel syndrome icd11 kb891,approved,d00413
acute lymphoblastic leukaemia icd11 2a85,approved,d00414
premature labour icd11 jb00,approved,d00416
contraception icd11 qa21,phase 3,d00416
parkinson disease icd11 8a000,approved,d00417
idiopathic parkinson disease icd11 8a000z,phase 3,d00417
sexual dysfunction icd11 ha00ha01,phase 2,d00417
hyperkinetic movement disorder icd11 6b608,approved,d00418
huntington disease icd11 8a0110,approved,d00418
fecal incontinence icd11 me07,approved,d00419
ophthalmic graves disease icd11 5a020,approved,d00419
parkinson disease icd11 8a000,approved,d00420
nephropathic cystinosis icd11 5c60,approved,d00422
bacterial infection icd11 1a001c4z,approved,d00424
hypophosphatasia icd11 5c643,approved,d00426
acute gouty arthritis icd11 fa250,approved,d00428
solid tumourcancer icd11 2a002f9z,approved,d00430
solid tumourcancer icd11 2a002f9z,approved,d01375
tuberculosis icd11 1b101b14,approved,d00431
bacterial infection icd11 1a001c4z,approved,d00431
obsessive compulsive disorder icd11 6b20,phase 2,d00431
bacterial infection icd11 1a001c4z,approved,d00432
virus infection icd11 1a241d9z,approved,d00433
hypertension icd11 ba00ba04,approved,d00435
breast cancer icd11 2c602c65,approved,d00436
epileptic seizures icd11 8a618a6z,approved,d00437
angina pectoris icd11 ba40,approved,d00438
nausea icd11 md90,approved,d00439
solid tumourcancer icd11 2a002f9z,approved,d00440
spinal cord injury icd11 nd512,investigative,d00440
allergic rhinitis icd11 ca080,approved,d00441
anal fissure icd11 db500,approved,d00443
angina pectoris icd11 ba40,approved,d00443
nasal congestion icd11 md119,approved,d00444
cough icd11 md12,approved,d00446
